ser_nameshort;ser_namelong;ser_typ_id;ser_effort_uni_code;ser_comment;ser_uni_code;ser_lfs_code;ser_hty_code;ser_locationdescription;ser_emu_nameshort;ser_cou_code;ser_area_division;ser_tblcodeid;ser_x;ser_y;ser_sam_id;ser_sam_gear;ser_distanceseakm;ser_method;ser_restocking;ser_datastorage_code
VilG;Vilaine Arzal estuary;1;;Glass eel collected from the glass eel fishermen, usually the day after fishing, or when fishing stops;t;G;T;The Vilaine glass eel fishery is concentrated downstream from the Arzal dam, 12 km from the sea.;FR_Bret;FR;27.8.a;18001;-2.39;47.5;4;;0;;;ices_public
VilTG;Vilaine Arzal trapping all;1;;Glass eel collected in the trap.;t;G;T;The Vilaine glass eel fishery is concentrated downstream from the Arzal dam, 12 km from the sea.;FR_Bret;FR;27.8.a;18001;-2.39;47.5;4;;0;;;ices_public
LiffGY;Liffey;1;;Mixed Glass Eel and Young Yellow Eel. Trap installed in 2012, at one end of a long weir. Trap at tidal limit.  Refurbished in 2017. Series introduced 2017.;kg;GY;F;Trap located on the first dam in river Liffey (Dublin, Islandbridge) at the tidal limit,  10 km from the sea. East coast of Ireland;IE_East;IE;27.7.a;170071;-6.3143036;53.346488;5;230;0;Fixed brush trap;FALSE;
FealGY;River Feale;1;;Not influenced by water control, new data introduced to the wgeel in 2009. Glass eel trapping (kg), there might be some small number of yellow juveniles.  This trap was replaced with a new design in 2017.;kg;GY;F;1 ramp trap below water abstraction weir, right hand bank at tidal limit on river Feale. Located on West coast of Ireland;IE_Shan;IE;27.7.j;170037;-9.63;52.47;5;230;0;Fixed brush trap;FALSE;
MaigG;River Maigue;1;;glass eel trapping (kg), there might be some small number of yellow juveniles. There was an improvement to the trap in 2011. A new trap has been installed 1.8 kms upstream of this site in 2016/2017 and the original trap will be discontinued in the future due to limitations on increasing capacity of trap at this site. We may start a new time series in 2018.;kg;G;F;2 ramp traps located on right and left hand bank of river. 600m upstream of tidal limit but traps can be flooded due to the backing up of water on high tide.;IE_Shan;IE;27.7.b;170039;-8.78;52.65;5;230;1.6;Fixed brush trap;FALSE;
CorGY;Corrib Galway Weir;1;;elver trap located within an elver pass on a weir;kg;GY;F;Located at the tidal limit on the River corrib, west coast of Ireland;IE_West;IE;27.7.b;;-9.055946;53.27539;5;230;0;Fixed brush traps;FALSE;
InagG;River Inagh;1;;glass and elver separated from yellow eels;kg;GY;F;1 ramp trap Located on left hand bank below waterfall at tidal mark on river Inagh. Located on West coast of Ireland;IE_Shan;IE;27.7.b;170038;-9.43;52.83;5;230;0;Fixed brush trap;FALSE;
BdareG;Ballysadare River;1;;"glass and elver separated from yellow eels; located within a fish pass at waterfall";kg;GY;F;1 ramp trap Located on right hand bank in fish pass at tidal mark on river Ballysadare. Located on West coast of Ireland;IE_West;IE;27.7.b;;-8.50994;54.2123;5;230;0;Fixed brush trap;FALSE;
BoyneGY;Boyne Estuary;1;;glass and elver separated from yellow eels;kg;GY;T;Refuge trap off main channel estuary - Beaulieu Pond Sluice Gate;IE_East;IE;27.7.a;;-6.29663;53.7248;5;230;0;Refuge Trap;FALSE;
BannG;Bann estuary recruitment series;1;;;;G;T;;GB_Neag;GB;;;-6.749885;55.162266;;230;;;0;ices_public
StraG;Castle Espie recruitment series;1;;;;G;T;;GB_NorE;GB;;;-5.689038;54.534387;;230;;;0;
ErneG;Erne estuary recruitment series;1;;;;G;T;;IE_NorW;IE;;;-7.713397;54.422309;;230;;;0;
ShiMG;Shieldaif river mouth scientific estimate;;;2 pinhole traps  checked thrice weekly )March-Sept inc) in the river Shieldaig at the tidal limit. Excluding eels > 85mm;nr;G;T;Shiedaig river mouth at tidal limit;GB_Scot;GB;27.6a;;-5.645;57.5107;5;230;0.05;20 pinhole traps in river mouth just below high tide mark, checked thrice weekly March-Sept (inc.). Count of glass eels plus a few yellow eel less than 85mm, which are identified by pigmentation score. Length to nearest mm. Weight to nearest 0.01 of gram. Note weights taken 2021 and 2022 did not use filter paper to remove excess water. Filter paper used 2023 and on.;;ices_public
RhDOG;Rhine DenOever scientific estimate;1;nr haul;"Glass eel density is measured using using a 1x1m liftnet with a fine mesh size (1x1mm). This net is lowered by a rope, just in front of a barrier (sluice, pumping station, etc), until the bottom is reached. After approximately 5 minutes the net is lifted by pulling the rope at a speed of approximately 1 m per second.

    At Den Oever the monitoring is executed by professional fishermen who are paid for their activities. They take 1 haul each hour between 22:00PM- 05:00AM. 8 hauls in total each night during the period Mar-May.  The index corresponds to

    the average number of glass eel per lift in the period April May. This series corresponds to the most important sampling effort in the Netherland, and also the longest series available.";index;G;T;"Den Oever (RhDO): 52°56'11.90""N   5° 2'45.58""O (discharge sluices)";NL_Neth;NL;27.4.c;170034;5.048647;52.93788;3;214;0;"Glass eel density is measured using using a 1x1m liftnet with a fine mesh size (1x1mm). This net is lowered by a rope, just in front of a barrier (sluice, pumping station, etc), until the bottom is reached. After approximately 5 minutes the net is lifted by pulling the rope at a speed of approximately 1 m per second.

    At Den Oever the monitoring is executed by professional fishermen who are paid for their activities. They take 1 haul each hour between 22:00PM- 05:00AM. 8 hauls in total each night during the period Mar-May.  The index corresponds to

    the average number of glass eel per lift in the period April May. This series corresponds to the most important sampling effort in the Netherland, and also the longest series available.";FALSE;
Burrishoole;;;;;;;;;;;;;-9.802777;53.917955;;;;;;
Oria;;;;;;;;;;;;;-2.132556768;43.27826821;;;;;;
