day;month;year;count;length;weight;stage
8;4;2024;1;60.78;0.225;1
8;4;2024;2;60.53;0.155;1
8;4;2024;3;58.36;0.16;1
8;4;2024;4;60.6;0.17;1
8;4;2024;5;60.6;0.175;1
8;4;2024;6;65.44;0.235;1
8;4;2024;7;62.41;0.2;1
8;4;2024;8;58.69;0.155;1
8;4;2024;9;62.35;0.19;1
8;4;2024;10;64.1;0.23;1
8;4;2024;11;61.01;0.15;1
8;4;2024;12;63.54;0.22;1
8;4;2024;13;63.54;0.205;1
8;4;2024;14;64.06;0.225;1
8;4;2024;15;65.91;0.255;1
8;4;2024;16;64.34;0.23;1
8;4;2024;17;64.68;0.22;1
8;4;2024;18;59.51;0.175;1
8;4;2024;19;63.97;0.225;1
8;4;2024;20;63.97;0.225;1
8;4;2024;21;56.85;0.12;1
8;4;2024;22;66.17;0.25;1
8;4;2024;23;68.28;0.15;1
8;4;2024;24;61.36;0.2;1
8;4;2024;25;65.74;0.2;1
8;4;2024;26;62.44;0.175;1
8;4;2024;27;67.41;0.345;1
8;4;2024;28;62.5;0.225;1
8;4;2024;29;66.73;0.275;1
8;4;2024;30;64.24;0.18;1
8;4;2024;31;61.82;0.195;1
8;4;2024;32;70.93;0.28;1
8;4;2024;33;68.91;0.29;1
8;4;2024;34;65.22;0.205;1
8;4;2024;35;65.41;0.23;1
8;4;2024;36;58.13;0.14;1
8;4;2024;37;59.22;0.135;1
8;4;2024;38;61.83;0.22;1
8;4;2024;39;66.62;0.25;1
8;4;2024;40;64.64;0.225;1
8;4;2024;41;62.52;0.22;1
8;4;2024;42;66.22;0.23;1
8;4;2024;43;64.19;0.185;1
8;4;2024;44;63.91;0.22;1
8;4;2024;45;59.98;0.18;1
8;4;2024;46;63.45;0.245;1
8;4;2024;47;60.1;0.215;1
8;4;2024;48;61.35;0.2;1
8;4;2024;49;65.86;0.225;1
8;4;2024;50;64.5;0.235;1
8;4;2024;51;64.61;0.23;1
8;4;2024;52;66.02;0.21;1
8;4;2024;53;64.01;0.215;1
8;4;2024;54;68.2;0.265;1
8;4;2024;55;62.38;0.205;1
8;4;2024;56;67.54;0.27;1
8;4;2024;57;61.95;0.18;1
8;4;2024;58;59.54;0.16;1
8;4;2024;59;63.45;0.205;1
8;4;2024;60;70.11;0.275;1
8;4;2024;61;66.89;0.22;1
8;4;2024;62;63.97;0.185;1
8;4;2024;63;65.25;0.25;1
8;4;2024;64;67.33;0.22;1
8;4;2024;65;58.97;0.14;1
8;4;2024;66;64.17;0.195;1
8;4;2024;67;61.24;0.18;1
8;4;2024;68;67.92;0.26;1
8;4;2024;69;69.08;0.245;1
8;4;2024;70;60.63;0.17;1
8;4;2024;71;62.45;0.24;1
8;4;2024;72;61.18;0.185;1
8;4;2024;73;64.68;0.23;1
8;4;2024;74;65.09;0.205;1
8;4;2024;75;61.68;0.16;1
8;4;2024;76;68.58;0.26;1
8;4;2024;77;62.38;0.18;1
8;4;2024;78;65.71;0.215;1
8;4;2024;79;64.26;0.205;1
8;4;2024;80;66.72;0.245;1
8;4;2024;81;63.19;0.205;1
8;4;2024;82;64.48;0.195;1
8;4;2024;83;61.88;0.185;1
8;4;2024;84;65.51;0.25;1
8;4;2024;85;56.86;0.14;1
8;4;2024;86;56.28;0.13;1
8;4;2024;87;65.49;0.235;1
8;4;2024;88;60.88;0.16;1
8;4;2024;89;64.19;0.205;1
8;4;2024;90;63.97;0.21;1
8;4;2024;91;65.37;0.26;1
8;4;2024;92;64.02;0.245;1
8;4;2024;93;61.68;0.16;1
8;4;2024;94;60.79;0.2;1
8;4;2024;95;65.64;0.255;1
8;4;2024;96;57.27;0.145;1
8;4;2024;97;68.17;0.27;1
8;4;2024;98;58.1;0.155;1
8;4;2024;99;59.52;0.165;1
8;4;2024;100;61.87;0.18;1
10;4;2024;1;61.92;0.18;1
10;4;2024;2;60.62;0.21;1
10;4;2024;3;69.57;0.285;1
10;4;2024;4;55.87;0.125;1
10;4;2024;5;63.64;0.21;1
10;4;2024;6;65.79;0.255;1
10;4;2024;7;62.89;0.2;1
10;4;2024;8;62.52;0.195;1
10;4;2024;9;59.43;0.17;1
10;4;2024;10;59.57;0.155;1
10;4;2024;11;57.15;0.13;1
10;4;2024;12;65.72;0.26;1
10;4;2024;13;63.72;0.225;1
10;4;2024;14;66.26;0.23;1
10;4;2024;15;63.48;0.215;1
10;4;2024;16;59.88;0.17;1
10;4;2024;17;59.73;0.175;1
10;4;2024;18;67.7;0.255;1
10;4;2024;19;66.93;0.205;1
10;4;2024;20;65.79;0.235;1
10;4;2024;21;63.97;0.19;1
10;4;2024;22;69.46;0.245;1
10;4;2024;23;66.14;0.26;1
10;4;2024;24;60.12;0.175;1
10;4;2024;25;62.76;0.18;1
10;4;2024;26;63.89;0.205;1
10;4;2024;27;61.46;0.23;1
10;4;2024;28;57.9;0.17;1
10;4;2024;29;56.94;0.145;1
10;4;2024;30;63.32;0.215;1
10;4;2024;31;64.35;0.23;1
10;4;2024;32;62.77;0.195;1
10;4;2024;33;60.27;0.215;1
10;4;2024;34;58.05;0.13;1
10;4;2024;35;64.45;0.225;1
10;4;2024;36;62.38;0.175;1
10;4;2024;37;62.72;0.195;1
10;4;2024;38;60.22;0.19;1
10;4;2024;39;59.8;0.175;1
10;4;2024;40;61.86;0.2;1
10;4;2024;41;64.76;0.23;1
10;4;2024;42;63.81;0.205;1
10;4;2024;43;58.25;0.145;1
10;4;2024;44;68.78;0.3;1
10;4;2024;45;65.06;0.215;1
10;4;2024;46;62.85;0.17;1
10;4;2024;47;64.45;0.21;1
10;4;2024;48;66.96;0.25;1
10;4;2024;49;65.75;0.225;1
10;4;2024;50;63.97;0.195;1
10;4;2024;51;59.75;0.165;1
10;4;2024;52;61.96;0.18;1
10;4;2024;53;62.36;0.19;1
10;4;2024;54;59.21;0.17;1
10;4;2024;55;69.13;0.8;1
10;4;2024;56;60.81;0.2;1
10;4;2024;57;58.57;0.135;1
10;4;2024;58;67.11;0.28;1
10;4;2024;59;61.96;0.19;1
10;4;2024;60;57.68;0.14;1
10;4;2024;61;60.79;0.155;1
10;4;2024;62;59.89;0.185;1
10;4;2024;63;64.85;0.24;1
10;4;2024;64;59.03;0.17;1
10;4;2024;65;58.69;0.135;1
10;4;2024;66;62.78;0.22;1
10;4;2024;67;61.83;0.175;1
10;4;2024;68;65.33;0.225;1
10;4;2024;69;63.57;0.21;1
10;4;2024;70;65.83;0.25;1
