date;count;length;weight;stage
25-4-2025;1;67.4;0.22;1
25-4-2025;2;61.7;0.23;1
25-4-2025;3;68.2;0.275;1
25-4-2025;4;65.7;0.22;1
25-4-2025;5;66.1;0.18;1
25-4-2025;6;60;0.09;1
25-4-2025;7;61.1;0.18;1
25-4-2025;8;64.5;0.245;1
25-4-2025;9;61.2;0.17;1
25-4-2025;10;59.2;0.17;1
25-4-2025;11;62.9;0.215;1
25-4-2025;12;62;0.175;1
25-4-2025;13;65.2;0.19;1
25-4-2025;14;62.2;0.185;1
25-4-2025;15;63;0.155;1
25-4-2025;16;66.3;0.21;1
25-4-2025;17;64.7;0.19;1
25-4-2025;18;58;0.12;1
25-4-2025;19;72.8;0.315;1
25-4-2025;20;58.2;0.14;1
25-4-2025;21;60.9;0.185;1
25-4-2025;22;58.5;0.175;1
25-4-2025;23;62.3;0.205;1
25-4-2025;24;64.8;0.215;1
25-4-2025;25;61.2;0.17;1
25-4-2025;26;63.9;0.14;1
25-4-2025;27;60.6;0.2;1
25-4-2025;28;62.1;0.225;1
25-4-2025;29;58.5;0.135;1
25-4-2025;30;60.3;0.155;1
25-4-2025;31;59;0.185;1
25-4-2025;32;59.4;0.145;1
25-4-2025;33;60.7;0.155;1
25-4-2025;34;61.5;0.17;1
25-4-2025;35;65.5;0.205;1
25-4-2025;36;63;0.185;1
25-4-2025;37;62.3;0.205;1
25-4-2025;38;60.8;0.185;1
25-4-2025;39;64.3;0.205;1
25-4-2025;40;60.3;0.165;1
25-4-2025;41;61.7;0.235;1
25-4-2025;42;64.4;0.21;1
25-4-2025;43;60.5;0.17;1
25-4-2025;44;60;0.16;1
25-4-2025;45;56.8;0.155;1
25-4-2025;46;56.6;0.145;1
25-4-2025;47;61.2;0.165;1
25-4-2025;48;60.8;0.16;1
25-4-2025;49;58.7;0.14;1
25-4-2025;50;57.1;0.165;1
25-4-2025;51;59.2;0.185;1
25-4-2025;52;59.4;0.235;1
25-4-2025;53;59.3;0.21;1
25-4-2025;54;60.4;0.18;1
25-4-2025;55;65.3;0.225;1
25-4-2025;56;68.7;0.245;1
25-4-2025;57;67.3;0.275;1
25-4-2025;58;57.8;0.135;1
25-4-2025;59;58.7;0.125;1
25-4-2025;60;57.5;0.145;1
25-4-2025;61;60.4;0.18;1
25-4-2025;62;61;0.205;1
25-4-2025;63;53.8;0.145;1
25-4-2025;64;56.4;0.135;1
25-4-2025;65;53.7;0.14;1
25-4-2025;66;62.1;0.22;1
25-4-2025;67;65.7;0.22;1
25-4-2025;68;64.3;0.185;1
25-4-2025;69;64;0.21;1
25-4-2025;70;62.2;0.195;1
25-4-2025;71;62.8;0.2;1
25-4-2025;72;61.5;0.17;1
25-4-2025;73;66.9;0.255;1
25-4-2025;74;60.8;0.17;1
25-4-2025;75;64.1;0.245;1
25-4-2025;76;59;0.15;1
25-4-2025;77;61;0.16;1
25-4-2025;78;57.7;0.14;1
25-4-2025;79;62.6;0.2;1
25-4-2025;80;71.9;0.265;1
25-4-2025;81;61.5;0.21;1
25-4-2025;82;56;0.15;1
25-4-2025;83;56.9;0.14;1
25-4-2025;84;64.6;0.22;1
25-4-2025;85;59.9;0.18;1
25-4-2025;86;59.6;0.16;1
25-4-2025;87;56.6;0.185;1
25-4-2025;88;61.2;0.19;1
25-4-2025;89;60.1;0.195;1
25-4-2025;90;61.3;0.22;1
25-4-2025;91;65.2;0.205;1
25-4-2025;92;65.8;0.23;1
25-4-2025;93;59.9;0.185;1
25-4-2025;94;58.7;0.16;1
25-4-2025;95;64.2;0.215;1
25-4-2025;96;61.2;0.165;1
25-4-2025;97;60.5;0.17;1
25-4-2025;98;63.9;0.225;1
25-4-2025;99;59.6;0.2;1
25-4-2025;100;58.7;0.185;1
28-4-2025;1;63.9;0.235;1
28-4-2025;2;56;0.165;1
28-4-2025;3;60.8;0.195;1
28-4-2025;4;55.9;0.135;1
28-4-2025;5;59.5;0.205;1
28-4-2025;6;60.1;0.215;1
28-4-2025;7;57;0.14;1
28-4-2025;8;63.1;0.205;1
28-4-2025;9;59.3;0.18;1
28-4-2025;10;63.5;0.23;1
28-4-2025;11;59.2;0.135;1
28-4-2025;12;60.3;0.185;1
28-4-2025;13;61.6;0.18;1
28-4-2025;14;60.8;0.165;1
28-4-2025;15;59.8;0.23;1
28-4-2025;16;54;0.175;1
28-4-2025;17;55.4;0.135;1
28-4-2025;18;63.6;0.235;1
28-4-2025;19;61.5;0.185;1
28-4-2025;20;61.4;0.205;1
28-4-2025;21;64;0.275;1
28-4-2025;22;59.7;0.24;1
28-4-2025;23;58.5;0.2;1
28-4-2025;24;56.6;0.185;1
28-4-2025;25;61;0.215;1
28-4-2025;26;60.5;0.155;1
28-4-2025;27;62.8;0.175;1
28-4-2025;28;58.6;0.19;1
28-4-2025;29;59.6;0.17;1
28-4-2025;30;60.1;0.18;1
28-4-2025;31;60.4;0.195;1
28-4-2025;32;57.9;0.19;1
28-4-2025;33;64;0.185;1
28-4-2025;34;60.3;0.235;1
28-4-2025;35;63.2;0.19;1
28-4-2025;36;61;0.125;1
28-4-2025;37;59.2;0.16;1
28-4-2025;38;55.3;0.145;1
28-4-2025;39;53.9;0.165;1
28-4-2025;40;59.8;0.175;1
28-4-2025;41;57.2;0.17;1
28-4-2025;42;59.4;0.17;1
28-4-2025;43;61.5;0.18;1
28-4-2025;44;62.9;0.13;1
28-4-2025;45;63.2;0.205;1
28-4-2025;46;64.6;0.245;1
28-4-2025;47;62.6;0.205;1
28-4-2025;48;62.6;0.2;1
28-4-2025;49;61;0.16;1
28-4-2025;50;61.2;0.17;1
28-4-2025;51;62.4;0.2;1
28-4-2025;52;56.8;0.105;1
28-4-2025;53;58.2;0.145;1
28-4-2025;54;59.4;0.16;1
28-4-2025;55;58.3;0.145;1
28-4-2025;56;63.6;0.205;1
28-4-2025;57;55.6;0.14;1
28-4-2025;58;61.3;0.215;1
28-4-2025;59;57.2;0.15;1
28-4-2025;60;60.1;0.165;1
28-4-2025;61;64.9;0.26;1
28-4-2025;62;62;0.245;1
28-4-2025;63;62.9;0.24;1
28-4-2025;64;61.3;0.225;1
28-4-2025;65;60.3;0.205;1
28-4-2025;66;58.3;0.185;1
28-4-2025;67;60;0.24;1
28-4-2025;68;55.7;0.195;1
30-4-2025;1;60.1;0.16;1
30-4-2025;2;58.2;0.12;1
30-4-2025;3;57.3;0.185;1
30-4-2025;4;55.9;0.175;1
30-4-2025;5;56.5;0.15;1
30-4-2025;6;62;0.235;1
30-4-2025;7;56.5;0.135;1
30-4-2025;8;59.7;0.185;1
30-4-2025;9;59.1;0.15;1
30-4-2025;10;59;0.235;1
30-4-2025;11;59.3;0.185;1
30-4-2025;12;58.9;0.2;1
30-4-2025;13;60.6;0.185;1
30-4-2025;14;65.5;0.22;1
30-4-2025;15;59.2;0.165;1
30-4-2025;16;59.5;0.12;1
30-4-2025;17;58.3;0.15;1
30-4-2025;18;62.5;0.215;1
30-4-2025;19;53.6;0.115;1
30-4-2025;20;65.1;0.235;1
30-4-2025;21;59.9;0.205;1
30-4-2025;22;61.1;0.21;1
30-4-2025;23;60.4;0.205;1
30-4-2025;24;63.2;0.23;1
30-4-2025;25;58.1;0.145;1
30-4-2025;26;61.7;0.215;1
30-4-2025;27;62;0.215;1
30-4-2025;28;62;0.195;1
30-4-2025;29;57.9;0.145;1
30-4-2025;30;60.7;0.195;1
30-4-2025;31;57.5;0.175;1
30-4-2025;32;61.2;0.19;1
30-4-2025;33;59.7;0.18;1
30-4-2025;34;62.5;0.21;1
30-4-2025;35;64.5;0.175;1
30-4-2025;36;64;0.225;1
30-4-2025;37;65.2;0.21;1
30-4-2025;38;63.6;0.195;1
30-4-2025;39;65.5;0.22;1
30-4-2025;40;60.3;0.16;1
30-4-2025;41;58.7;0.155;1
30-4-2025;42;57.6;0.135;1
30-4-2025;43;59.1;0.15;1
30-4-2025;44;59.1;0.225;1
30-4-2025;45;59.9;0.22;1
30-4-2025;46;61.6;0.31;1
30-4-2025;47;61;0.185;1
30-4-2025;48;55.3;0.115;1
30-4-2025;49;66.8;0.215;1
30-4-2025;50;66.1;0.21;1
30-4-2025;51;58.7;0.175;1
30-4-2025;52;60.2;0.25;1
30-4-2025;53;64.3;0.28;1
30-4-2025;54;66.5;0.245;1
30-4-2025;55;57.2;0.13;1
30-4-2025;56;60.4;0.195;1
30-4-2025;57;57;0.15;1
30-4-2025;58;60.9;0.19;1
30-4-2025;59;59.2;0.165;1
30-4-2025;60;61;0.26;1
