date;year;length;weight;stage;age;trap count;total count;;;;;;
06-05-1996;1996;61.59;0.220;1;0;792590;1124065;;;;;;
06-05-1996;1996;62.31;0.230;3;0;NA;NA;;;;;;
06-05-1996;1996;56.16;0.180;2;0;NA;NA;;;;;;
06-05-1996;1996;61.98;0.240;2;0;NA;NA;;;;;;
06-05-1996;1996;58.59;0.200;2;0;NA;NA;;;;;;
06-05-1996;1996;58.82;0.200;2;0;NA;NA;;;;;;
06-05-1996;1996;60.27;0.220;2;0;NA;NA;;;;;;
06-05-1996;1996;58.51;0.200;2;0;NA;NA;;;;;;
06-05-1996;1996;63.17;0.240;2;0;NA;NA;;;;;;
06-05-1996;1996;62.68;0.260;2;0;NA;NA;;;;;;
06-05-1996;1996;61.02;0.210;2;0;NA;NA;;;;;;
06-05-1996;1996;64.39;0.250;1;0;NA;NA;;;;;;
06-05-1996;1996;67.50;0.290;1;0;NA;NA;;;;;;
06-05-1996;1996;63.55;0.250;2;0;NA;NA;;;;;;
06-05-1996;1996;57.06;0.220;2;0;NA;NA;;;;;;
06-05-1996;1996;62.18;0.240;3;0;NA;NA;;;;;;
06-05-1996;1996;63.34;0.220;1;0;NA;NA;;;;;;
06-05-1996;1996;56.90;0.160;2;0;NA;NA;;;;;;
06-05-1996;1996;61.85;0.250;2;0;NA;NA;;;;;;
06-05-1996;1996;62.60;0.250;1;0;NA;NA;;;;;;
06-05-1996;1996;62.32;0.230;1;0;NA;NA;;;;;;
06-05-1996;1996;55.12;0.190;2;0;NA;NA;;;;;;
06-05-1996;1996;66.36;0.260;1;0;NA;NA;;;;;;
06-05-1996;1996;63.18;0.230;2;0;NA;NA;;;;;;
06-05-1996;1996;64.14;0.260;2;0;NA;NA;;;;;;
06-05-1996;1996;61.96;0.250;2;0;NA;NA;;;;;;
06-05-1996;1996;65.92;0.320;1;0;NA;NA;;;;;;
06-05-1996;1996;64.00;0.250;1;0;NA;NA;;;;;;
06-05-1996;1996;63.43;0.200;2;0;NA;NA;;;;;;
06-05-1996;1996;59.02;0.210;1;0;NA;NA;;;;;;
08-05-1996;1996;65.78;0.270;2;0;NA;NA;;;;;;
08-05-1996;1996;61.80;0.190;2;0;NA;NA;;;;;;
08-05-1996;1996;64.71;0.200;2;0;NA;NA;;;;;;
10-05-1996;1996;60.12;0.140;2;0;NA;NA;;;;;;
10-05-1996;1996;53.14;0.140;2;0;NA;NA;;;;;;
10-05-1996;1996;56.94;0.140;3;0;NA;NA;;;;;;
10-05-1996;1996;55.99;0.160;1;0;NA;NA;;;;;;
10-05-1996;1996;59.04;0.170;2;0;NA;NA;;;;;;
10-05-1996;1996;64.70;0.230;1;0;NA;NA;;;;;;
10-05-1996;1996;66.25;0.210;2;0;NA;NA;;;;;;
10-05-1996;1996;67.72;0.260;2;0;NA;NA;;;;;;
10-05-1996;1996;56.25;0.120;2;0;NA;NA;;;;;;
10-05-1996;1996;60.45;0.190;3;0;NA;NA;;;;;;
10-05-1996;1996;59.19;0.190;2;0;NA;NA;;;;;;
10-05-1996;1996;63.79;0.180;2;0;NA;NA;;;;;;
10-05-1996;1996;60.36;0.180;2;0;NA;NA;;;;;;
10-05-1996;1996;65.76;0.180;3;0;NA;NA;;;;;;
10-05-1996;1996;68.72;0.240;3;0;NA;NA;;;;;;
10-05-1996;1996;60.18;0.140;2;0;NA;NA;;;;;;
10-05-1996;1996;62.57;0.210;3;0;NA;NA;;;;;;
10-05-1996;1996;58.35;0.140;3;0;NA;NA;;;;;;
10-05-1996;1996;57.22;0.130;2;0;NA;NA;;;;;;
10-05-1996;1996;64.46;0.200;3;0;NA;NA;;;;;;
10-05-1996;1996;61.15;0.150;1;0;NA;NA;;;;;;
10-05-1996;1996;66.46;0.230;2;0;NA;NA;;;;;;
10-05-1996;1996;64.31;0.210;2;0;NA;NA;;;;;;
10-05-1996;1996;64.46;0.200;2;0;NA;NA;;;;;;
10-05-1996;1996;65.87;0.200;1;0;NA;NA;;;;;;
10-05-1996;1996;62.80;0.230;2;0;NA;NA;;;;;;
10-05-1996;1996;59.85;0.190;2;0;NA;NA;;;;;;
10-05-1996;1996;62.80;0.170;3;0;NA;NA;;;;;;
10-05-1996;1996;62.73;0.170;3;0;NA;NA;;;;;;
10-05-1996;1996;66.29;0.200;2;0;NA;NA;;;;;;
10-05-1996;1996;63.54;0.220;3;0;NA;NA;;;;;;
10-05-1996;1996;66.93;0.220;2;0;NA;NA;;;;;;
10-05-1996;1996;65.92;0.220;3;0;NA;NA;;;;;;
10-05-1996;1996;74.97;0.330;1;0;NA;NA;;;;;;
10-05-1996;1996;70.68;0.250;3;0;NA;NA;;;;;;
10-05-1996;1996;76.08;0.380;2;0;NA;NA;;;;;;
10-05-1996;1996;71.08;0.290;2;0;NA;NA;;;;;;
10-05-1996;1996;72.49;0.300;3;0;NA;NA;;;;;;
17-05-1996;1996;59.21;0.160;2;0;NA;NA;;;;;;
17-05-1996;1996;65.15;0.230;2;0;NA;NA;;;;;;
17-05-1996;1996;65.95;0.200;3;0;NA;NA;;;;;;
17-05-1996;1996;69.39;0.270;3;0;NA;NA;;;;;;
17-05-1996;1996;57.39;0.170;3;0;NA;NA;;;;;;
17-05-1996;1996;61.94;0.170;2;0;NA;NA;;;;;;
17-05-1996;1996;71.95;0.280;2;0;NA;NA;;;;;;
17-05-1996;1996;64.45;0.230;3;0;NA;NA;;;;;;
17-05-1996;1996;69.01;0.260;3;0;NA;NA;;;;;;
17-05-1996;1996;59.39;0.160;2;0;NA;NA;;;;;;
17-05-1996;1996;58.26;0.140;4;0;NA;NA;;;;;;
17-05-1996;1996;72.11;0.350;4;0;NA;NA;;;;;;
17-05-1996;1996;67.64;0.200;3;0;NA;NA;;;;;;
17-05-1996;1996;65.10;0.250;3;0;NA;NA;;;;;;
17-05-1996;1996;65.90;0.250;3;0;NA;NA;;;;;;
17-05-1996;1996;61.19;0.200;2;0;NA;NA;;;;;;
17-05-1996;1996;67.34;0.240;3;0;NA;NA;;;;;;
17-05-1996;1996;60.17;0.180;4;0;NA;NA;;;;;;
17-05-1996;1996;65.56;0.200;3;0;NA;NA;;;;;;
17-05-1996;1996;64.84;0.190;4;0;NA;NA;;;;;;
17-05-1996;1996;59.16;0.160;3;0;NA;NA;;;;;;
17-05-1996;1996;66.61;0.220;3;0;NA;NA;;;;;;
17-05-1996;1996;63.40;0.190;4;0;NA;NA;;;;;;
17-05-1996;1996;61.77;0.150;4;0;NA;NA;;;;;;
17-05-1996;1996;55.98;0.140;3;0;NA;NA;;;;;;
17-05-1996;1996;62.85;0.170;3;0;NA;NA;;;;;;
17-05-1996;1996;66.16;0.200;3;0;NA;NA;;;;;;
17-05-1996;1996;60.81;0.170;4;0;NA;NA;;;;;;
17-05-1996;1996;67.17;0.190;4;0;NA;NA;;;;;;
17-05-1996;1996;70.39;0.260;3;0;NA;NA;;;;;;
17-05-1996;1996;64.14;0.210;3;0;NA;NA;;;;;;
17-05-1996;1996;68.33;0.260;3;0;NA;NA;;;;;;
17-05-1996;1996;67.38;0.250;3;0;NA;NA;;;;;;
17-05-1996;1996;62.87;0.170;3;0;NA;NA;;;;;;
17-05-1996;1996;64.44;0.200;4;0;NA;NA;;;;;;
17-05-1996;1996;62.54;0.200;3;0;NA;NA;;;;;;
17-05-1996;1996;71.19;0.280;3;0;NA;NA;;;;;;
17-05-1996;1996;65.41;0.220;3;0;NA;NA;;;;;;
17-05-1996;1996;59.76;0.180;3;0;NA;NA;;;;;;
17-05-1996;1996;61.36;0.190;4;0;NA;NA;;;;;;
17-05-1996;1996;66.70;0.210;4;0;NA;NA;;;;;;
17-05-1996;1996;69.03;0.290;3;0;NA;NA;;;;;;
17-05-1996;1996;65.40;0.170;5;0;NA;NA;;;;;;
17-05-1996;1996;63.58;0.190;3;0;NA;NA;;;;;;
17-05-1996;1996;62.63;0.200;2;0;NA;NA;;;;;;
17-05-1996;1996;53.73;0.210;3;0;NA;NA;;;;;;
17-05-1996;1996;58.73;0.150;4;0;NA;NA;;;;;;
17-05-1996;1996;60.95;0.180;3;0;NA;NA;;;;;;
17-05-1996;1996;64.41;0.210;3;0;NA;NA;;;;;;
17-05-1996;1996;62.15;0.160;4;0;NA;NA;;;;;;
20-05-1996;1996;61.20;0.170;3;0;NA;NA;;;;;;
20-05-1996;1996;65.80;0.240;2;0;NA;NA;;;;;;
20-05-1996;1996;61.10;0.180;3;0;NA;NA;;;;;;
20-05-1996;1996;60.66;0.160;3;0;NA;NA;;;;;;
20-05-1996;1996;63.81;0.250;4;0;NA;NA;;;;;;
20-05-1996;1996;59.05;0.150;4;0;NA;NA;;;;;;
20-05-1996;1996;63.17;0.160;4;0;NA;NA;;;;;;
20-05-1996;1996;54.69;0.120;3;0;NA;NA;;;;;;
20-05-1996;1996;55.45;0.120;4;0;NA;NA;;;;;;
20-05-1996;1996;62.10;0.180;3;0;NA;NA;;;;;;
20-05-1996;1996;69.89;0.250;3;0;NA;NA;;;;;;
20-05-1996;1996;68.15;0.220;3;0;NA;NA;;;;;;
20-05-1996;1996;61.57;0.160;3;0;NA;NA;;;;;;
20-05-1996;1996;60.34;0.160;4;0;NA;NA;;;;;;
20-05-1996;1996;63.47;0.160;4;0;NA;NA;;;;;;
20-05-1996;1996;63.11;0.180;3;0;NA;NA;;;;;;
20-05-1996;1996;67.72;0.250;3;0;NA;NA;;;;;;
20-05-1996;1996;65.35;0.220;3;0;NA;NA;;;;;;
20-05-1996;1996;68.41;0.280;3;0;NA;NA;;;;;;
20-05-1996;1996;68.75;0.280;2;0;NA;NA;;;;;;
20-05-1996;1996;70.13;0.280;3;0;NA;NA;;;;;;
20-05-1996;1996;58.55;0.160;3;0;NA;NA;;;;;;
20-05-1996;1996;65.73;0.210;4;0;NA;NA;;;;;;
20-05-1996;1996;70.15;0.250;3;0;NA;NA;;;;;;
20-05-1996;1996;61.25;0.170;2;0;NA;NA;;;;;;
20-05-1996;1996;64.35;0.210;3;0;NA;NA;;;;;;
20-05-1996;1996;63.01;0.190;2;0;NA;NA;;;;;;
20-05-1996;1996;62.17;0.180;4;0;NA;NA;;;;;;
20-05-1996;1996;65.05;0.200;3;0;NA;NA;;;;;;
20-05-1996;1996;65.92;0.210;3;0;NA;NA;;;;;;
20-05-1996;1996;67.06;0.250;4;0;NA;NA;;;;;;
20-05-1996;1996;60.00;0.170;3;0;NA;NA;;;;;;
20-05-1996;1996;63.67;0.180;4;0;NA;NA;;;;;;
20-05-1996;1996;58.76;0.140;3;0;NA;NA;;;;;;
20-05-1996;1996;63.35;0.200;2;0;NA;NA;;;;;;
20-05-1996;1996;60.36;0.170;4;0;NA;NA;;;;;;
20-05-1996;1996;61.48;0.190;2;0;NA;NA;;;;;;
20-05-1996;1996;67.09;0.230;4;0;NA;NA;;;;;;
20-05-1996;1996;59.52;0.160;3;0;NA;NA;;;;;;
20-05-1996;1996;70.02;0.260;3;0;NA;NA;;;;;;
20-05-1996;1996;65.49;0.200;3;0;NA;NA;;;;;;
20-05-1996;1996;71.97;0.280;3;0;NA;NA;;;;;;
20-05-1996;1996;71.50;0.330;2;0;NA;NA;;;;;;
20-05-1996;1996;64.40;0.200;4;0;NA;NA;;;;;;
20-05-1996;1996;69.00;0.250;3;0;NA;NA;;;;;;
20-05-1996;1996;62.37;0.200;4;0;NA;NA;;;;;;
20-05-1996;1996;66.75;0.230;3;0;NA;NA;;;;;;
20-05-1996;1996;70.01;0.300;3;0;NA;NA;;;;;;
20-05-1996;1996;60.22;0.190;3;0;NA;NA;;;;;;
20-05-1996;1996;58.29;0.160;4;0;NA;NA;;;;;;
22-05-1996;1996;67.45;0.240;4;0;NA;NA;;;;;;
22-05-1996;1996;58.65;0.140;4;0;NA;NA;;;;;;
22-05-1996;1996;67.41;0.250;4;0;NA;NA;;;;;;
22-05-1996;1996;58.16;0.140;5;0;NA;NA;;;;;;
22-05-1996;1996;58.78;0.150;3;0;NA;NA;;;;;;
22-05-1996;1996;69.56;0.260;5;0;NA;NA;;;;;;
22-05-1996;1996;59.47;0.170;5;0;NA;NA;;;;;;
22-05-1996;1996;58.26;0.130;3;0;NA;NA;;;;;;
22-05-1996;1996;62.00;0.180;3;0;NA;NA;;;;;;
22-05-1996;1996;60.36;0.140;4;0;NA;NA;;;;;;
22-05-1996;1996;67.91;0.240;3;0;NA;NA;;;;;;
22-05-1996;1996;65.63;0.200;4;0;NA;NA;;;;;;
22-05-1996;1996;64.21;0.150;6;0;NA;NA;;;;;;
22-05-1996;1996;70.23;0.260;3;0;NA;NA;;;;;;
22-05-1996;1996;60.03;0.130;3;0;NA;NA;;;;;;
22-05-1996;1996;59.62;0.210;3;0;NA;NA;;;;;;
22-05-1996;1996;57.60;0.150;3;0;NA;NA;;;;;;
22-05-1996;1996;73.03;0.270;4;0;NA;NA;;;;;;
22-05-1996;1996;62.09;0.150;3;0;NA;NA;;;;;;
22-05-1996;1996;64.78;0.180;4;0;NA;NA;;;;;;
22-05-1996;1996;63.12;0.210;3;0;NA;NA;;;;;;
22-05-1996;1996;67.23;0.230;3;0;NA;NA;;;;;;
22-05-1996;1996;66.05;0.120;4;0;NA;NA;;;;;;
22-05-1996;1996;66.58;0.220;3;0;NA;NA;;;;;;
22-05-1996;1996;59.29;0.130;3;0;NA;NA;;;;;;
22-05-1996;1996;60.00;0.140;3;0;NA;NA;;;;;;
22-05-1996;1996;66.99;0.220;4;0;NA;NA;;;;;;
22-05-1996;1996;60.79;0.170;3;0;NA;NA;;;;;;
22-05-1996;1996;60.94;0.160;2;0;NA;NA;;;;;;
22-05-1996;1996;71.60;0.300;3;0;NA;NA;;;;;;
22-05-1996;1996;65.09;0.220;4;0;NA;NA;;;;;;
22-05-1996;1996;60.13;0.150;3;0;NA;NA;;;;;;
22-05-1996;1996;61.42;0.180;3;0;NA;NA;;;;;;
22-05-1996;1996;68.95;0.240;4;0;NA;NA;;;;;;
22-05-1996;1996;65.99;0.210;4;0;NA;NA;;;;;;
22-05-1996;1996;58.07;0.150;4;0;NA;NA;;;;;;
22-05-1996;1996;66.36;0.220;4;0;NA;NA;;;;;;
22-05-1996;1996;61.78;0.200;4;0;NA;NA;;;;;;
22-05-1996;1996;59.31;0.130;3;0;NA;NA;;;;;;
22-05-1996;1996;56.32;0.120;4;0;NA;NA;;;;;;
22-05-1996;1996;58.62;0.150;5;0;NA;NA;;;;;;
22-05-1996;1996;66.40;0.200;4;0;NA;NA;;;;;;
22-05-1996;1996;64.94;0.210;2;0;NA;NA;;;;;;
22-05-1996;1996;59.20;0.150;3;0;NA;NA;;;;;;
22-05-1996;1996;62.64;0.190;3;0;NA;NA;;;;;;
22-05-1996;1996;64.36;0.220;3;0;NA;NA;;;;;;
22-05-1996;1996;57.45;0.140;3;0;NA;NA;;;;;;
22-05-1996;1996;58.70;0.160;2;0;NA;NA;;;;;;
22-05-1996;1996;62.27;0.200;3;0;NA;NA;;;;;;
22-05-1996;1996;58.57;0.130;4;0;NA;NA;;;;;;
24-05-1996;1996;70.91;0.280;3;0;NA;NA;;;;;;
24-05-1996;1996;66.40;0.220;4;0;NA;NA;;;;;;
24-05-1996;1996;67.82;0.260;5;0;NA;NA;;;;;;
24-05-1996;1996;59.71;0.140;3;0;NA;NA;;;;;;
24-05-1996;1996;60.68;0.180;5;0;NA;NA;;;;;;
24-05-1996;1996;64.62;0.220;5;0;NA;NA;;;;;;
24-05-1996;1996;73.36;0.280;2;0;NA;NA;;;;;;
24-05-1996;1996;63.64;0.170;6;0;NA;NA;;;;;;
24-05-1996;1996;59.10;0.180;3;0;NA;NA;;;;;;
24-05-1996;1996;64.82;0.220;3;0;NA;NA;;;;;;
24-05-1996;1996;71.52;0.270;4;0;NA;NA;;;;;;
24-05-1996;1996;57.23;0.120;3;0;NA;NA;;;;;;
24-05-1996;1996;67.34;0.220;3;0;NA;NA;;;;;;
24-05-1996;1996;59.40;0.160;3;0;NA;NA;;;;;;
24-05-1996;1996;64.69;0.190;4;0;NA;NA;;;;;;
24-05-1996;1996;68.39;0.310;2;0;NA;NA;;;;;;
24-05-1996;1996;63.43;0.210;5;0;NA;NA;;;;;;
24-05-1996;1996;66.33;0.230;5;0;NA;NA;;;;;;
24-05-1996;1996;60.95;0.160;3;0;NA;NA;;;;;;
24-05-1996;1996;64.94;0.220;4;0;NA;NA;;;;;;
24-05-1996;1996;64.26;0.170;4;0;NA;NA;;;;;;
24-05-1996;1996;65.17;0.180;3;0;NA;NA;;;;;;
24-05-1996;1996;62.06;0.180;5;0;NA;NA;;;;;;
24-05-1996;1996;63.94;0.170;4;0;NA;NA;;;;;;
24-05-1996;1996;67.39;0.240;4;0;NA;NA;;;;;;
24-05-1996;1996;62.10;0.170;3;0;NA;NA;;;;;;
24-05-1996;1996;60.25;0.160;4;0;NA;NA;;;;;;
24-05-1996;1996;67.41;0.220;4;0;NA;NA;;;;;;
24-05-1996;1996;60.56;0.150;3;0;NA;NA;;;;;;
24-05-1996;1996;63.84;0.170;3;0;NA;NA;;;;;;
24-05-1996;1996;67.33;0.200;3;0;NA;NA;;;;;;
24-05-1996;1996;66.43;0.210;4;0;NA;NA;;;;;;
24-05-1996;1996;61.40;0.150;4;0;NA;NA;;;;;;
24-05-1996;1996;56.98;0.140;3;0;NA;NA;;;;;;
24-05-1996;1996;64.70;0.190;4;0;NA;NA;;;;;;
24-05-1996;1996;66.70;0.230;3;0;NA;NA;;;;;;
24-05-1996;1996;68.58;0.270;2;0;NA;NA;;;;;;
24-05-1996;1996;67.16;0.260;3;0;NA;NA;;;;;;
24-05-1996;1996;56.77;0.180;4;0;NA;NA;;;;;;
24-05-1996;1996;69.53;0.220;4;0;NA;NA;;;;;;
24-05-1996;1996;66.55;0.210;3;0;NA;NA;;;;;;
24-05-1996;1996;60.83;0.160;3;0;NA;NA;;;;;;
24-05-1996;1996;67.55;0.250;2;0;NA;NA;;;;;;
24-05-1996;1996;70.18;0.250;2;0;NA;NA;;;;;;
24-05-1996;1996;61.99;0.180;3;0;NA;NA;;;;;;
24-05-1996;1996;68.13;0.260;3;0;NA;NA;;;;;;
24-05-1996;1996;64.14;0.180;4;0;NA;NA;;;;;;
24-05-1996;1996;63.39;0.210;3;0;NA;NA;;;;;;
24-05-1996;1996;67.56;0.210;5;0;NA;NA;;;;;;
24-05-1996;1996;61.45;0.210;3;0;NA;NA;;;;;;
27-05-1996;1996;63.92;0.230;4;0;NA;NA;;;;;;
27-05-1996;1996;65.27;0.260;3;0;NA;NA;;;;;;
27-05-1996;1996;58.73;0.130;3;0;NA;NA;;;;;;
27-05-1996;1996;64.70;0.210;3;0;NA;NA;;;;;;
27-05-1996;1996;66.17;0.270;3;0;NA;NA;;;;;;
27-05-1996;1996;64.58;0.250;4;0;NA;NA;;;;;;
27-05-1996;1996;61.02;0.180;3;0;NA;NA;;;;;;
27-05-1996;1996;69.87;0.320;4;0;NA;NA;;;;;;
27-05-1996;1996;61.18;0.200;3;0;NA;NA;;;;;;
27-05-1996;1996;65.81;0.240;2;0;NA;NA;;;;;;
27-05-1996;1996;56.80;0.140;5;0;NA;NA;;;;;;
27-05-1996;1996;55.55;0.170;3;0;NA;NA;;;;;;
27-05-1996;1996;63.70;0.230;4;0;NA;NA;;;;;;
27-05-1996;1996;62.63;0.220;5;0;NA;NA;;;;;;
27-05-1996;1996;63.11;0.200;4;0;NA;NA;;;;;;
27-05-1996;1996;67.43;0.270;2;0;NA;NA;;;;;;
27-05-1996;1996;60.83;0.110;4;0;NA;NA;;;;;;
27-05-1996;1996;60.43;0.180;4;0;NA;NA;;;;;;
27-05-1996;1996;55.93;0.170;4;0;NA;NA;;;;;;
27-05-1996;1996;60.06;0.180;3;0;NA;NA;;;;;;
27-05-1996;1996;56.98;0.160;3;0;NA;NA;;;;;;
27-05-1996;1996;56.23;0.150;6;0;NA;NA;;;;;;
27-05-1996;1996;67.64;0.260;4;0;NA;NA;;;;;;
27-05-1996;1996;66.74;0.250;4;0;NA;NA;;;;;;
27-05-1996;1996;54.34;0.150;3;0;NA;NA;;;;;;
27-05-1996;1996;58.98;0.180;3;0;NA;NA;;;;;;
27-05-1996;1996;62.95;0.210;3;0;NA;NA;;;;;;
27-05-1996;1996;64.59;0.220;4;0;NA;NA;;;;;;
27-05-1996;1996;60.19;0.190;5;0;NA;NA;;;;;;
27-05-1996;1996;59.06;0.190;4;0;NA;NA;;;;;;
27-05-1996;1996;66.47;0.240;3;0;NA;NA;;;;;;
27-05-1996;1996;67.82;0.260;5;0;NA;NA;;;;;;
27-05-1996;1996;60.44;0.190;4;0;NA;NA;;;;;;
27-05-1996;1996;54.98;0.130;3;0;NA;NA;;;;;;
27-05-1996;1996;63.08;0.210;3;0;NA;NA;;;;;;
