date;season;basin;depth;month;transept_haul;size_cm;weight_g;ge_stage
2-11-2005;2005-2006;Oria;surf;11;47S;7.8;0.418;VIA1
2-11-2005;2005-2006;Oria;surf;11;47S;7.1;0.348;VB
2-11-2005;2005-2006;Oria;deep;11;50P;7.2;0.382;VIA1
2-11-2005;2005-2006;Oria;deep;11;51P;7.7;0.398;VB
2-11-2005;2005-2006;Oria;deep;11;52P;7.5;0.41;VB
2-11-2005;2005-2006;Oria;surf;11;52S;7.1;0.367;VB
2-11-2005;2005-2006;Oria;surf;11;54S;7.1;0.354;VB
2-11-2005;2005-2006;Oria;deep;11;55P;7;0.29;VIA1
2-11-2005;2005-2006;Oria;deep;11;55P;7.5;0.39;VB
15-11-2005;2005-2006;Oria;deep;11;66P;7.7;0.402;VIA1
15-11-2005;2005-2006;Oria;deep;11;66P;7;0.381;VB
15-11-2005;2005-2006;Oria;deep;11;67P;7.6;0.427;VIA1
15-11-2005;2005-2006;Oria;deep;11;83P;7.8;0.442;VIA1
28-11-2005;2005-2006;Oria;deep;11;102P;7.2;0.378;VIA1
28-11-2005;2005-2006;Oria;deep;11;102P;6.9;0.324;VIA1
28-11-2005;2005-2006;Oria;deep;11;102P;7.6;0.417;VIA1
28-11-2005;2005-2006;Oria;deep;11;102P;7.7;0.448;VIA1
28-11-2005;2005-2006;Oria;deep;11;102P;7.9;0.482;VIA1
28-11-2005;2005-2006;Oria;deep;11;102P;8.1;0.486;VIA1
28-11-2005;2005-2006;Oria;deep;11;102P;6.9;0.325;VB
28-11-2005;2005-2006;Oria;deep;11;103P;6.9;0.343;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.1;0.35;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.1;0.336;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.1;0.35;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.2;0.368;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.2;0.401;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.2;0.418;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.6;0.424;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.6;0.442;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.6;0.444;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.7;0.47;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.9;0.519;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.9;0.527;VIA1
28-11-2005;2005-2006;Oria;deep;11;103P;7.9;0.444;VB
28-11-2005;2005-2006;Oria;deep;11;103P;7.7;0.463;VB
28-11-2005;2005-2006;Oria;deep;11;104P;7.1;0.378;VIA1
28-11-2005;2005-2006;Oria;deep;11;104P;7.3;0.399;VIA1
28-11-2005;2005-2006;Oria;deep;11;104P;7.5;0.441;VIA1
28-11-2005;2005-2006;Oria;deep;11;104P;6.7;0.289;VB
28-11-2005;2005-2006;Oria;deep;11;104P;7.3;0.399;VB
28-11-2005;2005-2006;Oria;deep;11;104P;7.3;0.372;VB
28-11-2005;2005-2006;Oria;deep;11;104P;8;0.528;VB
28-11-2005;2005-2006;Oria;deep;11;104P;6.1;0.296;VB
28-11-2005;2005-2006;Oria;deep;11;104P;6.7;0.332;VB
