fi_id_cou;ser_nameshort;fi_date;fi_year;ge_stage;lengthmm;weightg;fi_comment
95336;VilTG;1997-09-21;1997;;;0.33;
270582;VilTG;1997-09-22;1997;;71;;
270585;VilTG;1997-09-22;1997;;62;;
270584;VilTG;1997-09-22;1997;;72;;
270583;VilTG;1997-09-22;1997;;70;;
270581;VilTG;1997-09-22;1997;;71;;
270587;VilTG;1997-09-23;1997;;67;;
270586;VilTG;1997-09-23;1997;;68;;
270588;VilTG;1997-09-23;1997;;67;;
270592;VilTG;1997-09-24;1997;;73;;
270591;VilTG;1997-09-24;1997;;67;;
270589;VilTG;1997-09-24;1997;;70;;
270590;VilTG;1997-09-24;1997;;73;;
270593;VilTG;1997-09-24;1997;;71;;
95340;VilTG;1997-09-26;1997;;;0.33;
270594;VilTG;1997-09-27;1997;;67;;
270595;VilTG;1997-09-27;1997;;70;;
270596;VilTG;1997-09-28;1997;;69;;
270597;VilTG;1997-09-28;1997;;68;;
270598;VilTG;1997-09-28;1997;;67;;
270599;VilTG;1997-09-28;1997;;69;;
270600;VilTG;1997-09-28;1997;;66;;
270604;VilTG;1997-09-29;1997;;71;;
270605;VilTG;1997-09-29;1997;;70;;
270602;VilTG;1997-09-29;1997;;65;;
270601;VilTG;1997-09-29;1997;;70;;
270603;VilTG;1997-09-29;1997;;73;;
271116;VilTG;1997-09-30;1997;;73;;
271117;VilTG;1997-09-30;1997;;73;;
271118;VilTG;1997-09-30;1997;;69;;
271114;VilTG;1997-09-30;1997;;69;;
271112;VilTG;1997-09-30;1997;;63;;
271119;VilTG;1997-09-30;1997;;73;;
271124;VilTG;1997-09-30;1997;;72;;
271121;VilTG;1997-09-30;1997;;71;;
271115;VilTG;1997-09-30;1997;;69;;
271113;VilTG;1997-09-30;1997;;73;;
271123;VilTG;1997-09-30;1997;;65;;
271122;VilTG;1997-09-30;1997;;69;;
271120;VilTG;1997-09-30;1997;;71;;
271111;VilTG;1997-09-30;1997;;73;;
271130;VilTG;1997-10-01;1997;;67;;
271127;VilTG;1997-10-01;1997;;71;;
271128;VilTG;1997-10-01;1997;;69;;
271125;VilTG;1997-10-01;1997;;66;;
271126;VilTG;1997-10-01;1997;;71;;
271129;VilTG;1997-10-01;1997;;73;;
271135;VilTG;1997-10-04;1997;;75;;
271132;VilTG;1997-10-04;1997;;70;;
271134;VilTG;1997-10-04;1997;;74;;
271137;VilTG;1997-10-04;1997;;66;;
271136;VilTG;1997-10-04;1997;;70;;
271133;VilTG;1997-10-04;1997;;63;;
271131;VilTG;1997-10-04;1997;;73;;
95349;VilTG;1997-10-05;1997;;72;;
271152;VilTG;1997-10-19;1997;;68;;
271140;VilTG;1997-10-19;1997;;70;;
271141;VilTG;1997-10-19;1997;;71;;
271144;VilTG;1997-10-19;1997;;73;;
271148;VilTG;1997-10-19;1997;;71;;
271149;VilTG;1997-10-19;1997;;75;;
271138;VilTG;1997-10-19;1997;;64;;
271150;VilTG;1997-10-19;1997;;68;;
271139;VilTG;1997-10-19;1997;;75;;
271151;VilTG;1997-10-19;1997;;74;;
271145;VilTG;1997-10-19;1997;;67;;
271146;VilTG;1997-10-19;1997;;75;;
271142;VilTG;1997-10-19;1997;;77;;
271147;VilTG;1997-10-19;1997;;65;;
271143;VilTG;1997-10-19;1997;;70;;
95352;VilTG;1997-10-22;1997;;;0.33;
95354;VilTG;1997-10-31;1997;;;0.33;
270653;VilTG;1997-11-04;1997;;75;;
270612;VilTG;1997-11-04;1997;;72;;
270615;VilTG;1997-11-09;1997;;74;;
270614;VilTG;1997-11-09;1997;;78;;
270613;VilTG;1997-11-09;1997;;69;;
270651;VilTG;1997-11-14;1997;;80;;
270650;VilTG;1997-11-14;1997;;73;;
270652;VilTG;1997-11-14;1997;;71;;
270619;VilTG;1997-11-15;1997;;66;;
270618;VilTG;1997-11-15;1997;;75;;
270616;VilTG;1997-11-15;1997;;76;;
270621;VilTG;1997-11-15;1997;;71;;
270649;VilTG;1997-11-15;1997;;79;;
