fi_id_cou;ser_nameshort;date;fi_year;ge_stage;lengthmm;weightg;fi_comment;month;day
Bann_2003_Apr_01;BannG;April;2002/2003;9;59;0.11;1;4;
Bann_2003_Apr_02;BannG;April;2002/2003;9;60;0.14;1;4;
Bann_2003_Apr_03;BannG;April;2002/2003;9;60;0.14;1;4;
Bann_2003_Apr_04;BannG;April;2002/2003;9;61;0.16;1;4;
Bann_2003_Apr_05;BannG;April;2002/2003;9;62;0.11;1;4;
Bann_2003_Apr_06;BannG;April;2002/2003;9;62;0.14;1;4;
Bann_2003_Apr_07;BannG;April;2002/2003;9;63;0.1;1;4;
Bann_2003_Apr_08;BannG;April;2002/2003;9;63;0.21;1;4;
Bann_2003_Apr_09;BannG;April;2002/2003;9;64;0.13;1;4;
Bann_2003_Apr_10;BannG;April;2002/2003;9;64;0.18;1;4;
Bann_2003_Apr_11;BannG;April;2002/2003;9;65;0.15;1;4;
Bann_2003_Apr_12;BannG;April;2002/2003;9;65;0.18;1;4;
Bann_2003_Apr_13;BannG;April;2002/2003;9;65;0.19;1;4;
Bann_2003_Apr_14;BannG;April;2002/2003;9;65;0.19;1;4;
Bann_2003_Apr_15;BannG;April;2002/2003;9;65;0.19;1;4;
Bann_2003_Apr_16;BannG;April;2002/2003;9;65;0.2;1;4;
Bann_2003_Apr_17;BannG;April;2002/2003;9;65;0.22;1;4;
Bann_2003_Apr_18;BannG;April;2002/2003;9;65;0.22;1;4;
Bann_2003_Apr_19;BannG;April;2002/2003;9;65;0.22;1;4;
Bann_2003_Apr_20;BannG;April;2002/2003;9;66;0.16;1;4;
Bann_2003_Apr_21;BannG;April;2002/2003;9;66;0.19;1;4;
Bann_2003_Apr_22;BannG;April;2002/2003;9;66;0.23;1;4;
Bann_2003_Apr_23;BannG;April;2002/2003;9;66;0.23;1;4;
Bann_2003_Apr_24;BannG;April;2002/2003;9;66;0.24;1;4;
Bann_2003_Apr_25;BannG;April;2002/2003;9;67;0.15;1;4;
Bann_2003_Apr_26;BannG;April;2002/2003;9;67;0.18;1;4;
Bann_2003_Apr_27;BannG;April;2002/2003;9;67;0.19;1;4;
Bann_2003_Apr_28;BannG;April;2002/2003;9;67;0.21;1;4;
Bann_2003_Apr_29;BannG;April;2002/2003;9;67;0.22;1;4;
Bann_2003_Apr_30;BannG;April;2002/2003;9;67;0.23;1;4;
Bann_2003_Apr_31;BannG;April;2002/2003;9;67;0.23;1;4;
Bann_2003_Apr_32;BannG;April;2002/2003;9;67;0.24;1;4;
Bann_2003_Apr_33;BannG;April;2002/2003;9;67;0.25;1;4;
