fi_id_cou;ser_nameshort;fi_date;fi_year;ge_stage;lengthmm;weightg;fi_comment
;RhDOG;10-5-2012;2012;;73;;
;RhDOG;10-5-2012;2012;;73;;
;RhDOG;10-5-2012;2012;;73;;
;RhDOG;10-5-2012;2012;;73;;
;RhDOG;10-5-2012;2012;;73;;
;RhDOG;10-5-2012;2012;;73;;
;RhDOG;10-5-2012;2012;;72;;
;RhDOG;10-5-2012;2012;;72;;
;RhDOG;10-5-2012;2012;;72;;
;RhDOG;10-5-2012;2012;;72;;
;RhDOG;10-5-2012;2012;;71;;
;RhDOG;10-5-2012;2012;;71;;
;RhDOG;10-5-2012;2012;;71;;
;RhDOG;10-5-2012;2012;;71;;
;RhDOG;10-5-2012;2012;;71;;
;RhDOG;10-5-2012;2012;;71;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;70;;
;RhDOG;10-5-2012;2012;;69;;
;RhDOG;10-5-2012;2012;;68;;
;RhDOG;10-5-2012;2012;;68;;
;RhDOG;10-5-2012;2012;;68;;
;RhDOG;10-5-2012;2012;;68;;
;RhDOG;10-5-2012;2012;;68;;
;RhDOG;10-5-2012;2012;;68;;
;RhDOG;10-5-2012;2012;;67;;
;RhDOG;10-5-2012;2012;;67;;
;RhDOG;10-5-2012;2012;;67;;
;RhDOG;10-5-2012;2012;;67;;
;RhDOG;10-5-2012;2012;;67;;
;RhDOG;10-5-2012;2012;;65;;
;RhDOG;10-5-2012;2012;;80;;
;RhDOG;10-5-2012;2012;;80;;
;RhDOG;10-5-2012;2012;;77;;
;RhDOG;10-5-2012;2012;;76;;
;RhDOG;10-5-2012;2012;;75;;
;RhDOG;10-5-2012;2012;;75;;
;RhDOG;10-5-2012;2012;;75;;
;RhDOG;10-5-2012;2012;;74;;
;RhDOG;10-5-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;80;;
;RhDOG;26-4-2012;2012;;78;;
;RhDOG;26-4-2012;2012;;78;;
;RhDOG;26-4-2012;2012;;78;;
;RhDOG;26-4-2012;2012;;77;;
;RhDOG;26-4-2012;2012;;76;;
;RhDOG;26-4-2012;2012;;76;;
;RhDOG;26-4-2012;2012;;76;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;75;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;74;;
;RhDOG;26-4-2012;2012;;73;;
;RhDOG;26-4-2012;2012;;73;;
;RhDOG;26-4-2012;2012;;73;;
;RhDOG;26-4-2012;2012;;73;;
;RhDOG;26-4-2012;2012;;73;;
;RhDOG;26-4-2012;2012;;73;;
;RhDOG;26-4-2012;2012;;73;;
;RhDOG;26-4-2012;2012;;73;;
;RhDOG;26-4-2012;2012;;73;;
;RhDOG;26-4-2012;2012;;72;;
;RhDOG;26-4-2012;2012;;72;;
;RhDOG;26-4-2012;2012;;72;;
;RhDOG;26-4-2012;2012;;72;;
;RhDOG;26-4-2012;2012;;72;;
;RhDOG;26-4-2012;2012;;72;;
;RhDOG;26-4-2012;2012;;72;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;71;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;70;;
;RhDOG;26-4-2012;2012;;69;;
;RhDOG;26-4-2012;2012;;69;;
;RhDOG;26-4-2012;2012;;69;;
;RhDOG;26-4-2012;2012;;69;;
;RhDOG;26-4-2012;2012;;69;;
;RhDOG;26-4-2012;2012;;69;;
;RhDOG;26-4-2012;2012;;69;;
;RhDOG;26-4-2012;2012;;69;;
;RhDOG;26-4-2012;2012;;69;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;68;;
;RhDOG;26-4-2012;2012;;67;;
;RhDOG;26-4-2012;2012;;67;;
;RhDOG;26-4-2012;2012;;67;;
;RhDOG;26-4-2012;2012;;66;;
;RhDOG;26-4-2012;2012;;66;;
;RhDOG;26-4-2012;2012;;66;;
;RhDOG;26-4-2012;2012;;66;;
;RhDOG;26-4-2012;2012;;66;;
;RhDOG;26-4-2012;2012;;66;;
;RhDOG;26-4-2012;2012;;66;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;65;;
;RhDOG;26-4-2012;2012;;64;;
;RhDOG;26-4-2012;2012;;63;;
;RhDOG;26-4-2012;2012;;63;;
;RhDOG;26-4-2012;2012;;62;;
;RhDOG;26-4-2012;2012;;60;;
;RhDOG;26-4-2012;2012;;60;;
;RhDOG;15-4-2012;2012;;80;;
;RhDOG;15-4-2012;2012;;79;;
;RhDOG;15-4-2012;2012;;78;;
;RhDOG;15-4-2012;2012;;78;;
;RhDOG;15-4-2012;2012;;77;;
;RhDOG;15-4-2012;2012;;77;;
;RhDOG;15-4-2012;2012;;77;;
;RhDOG;15-4-2012;2012;;77;;
;RhDOG;15-4-2012;2012;;76;;
;RhDOG;15-4-2012;2012;;76;;
;RhDOG;15-4-2012;2012;;76;;
;RhDOG;15-4-2012;2012;;76;;
;RhDOG;15-4-2012;2012;;76;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;75;;
;RhDOG;15-4-2012;2012;;74;;
;RhDOG;15-4-2012;2012;;74;;
;RhDOG;15-4-2012;2012;;74;;
;RhDOG;15-4-2012;2012;;74;;
;RhDOG;15-4-2012;2012;;74;;
;RhDOG;15-4-2012;2012;;74;;
;RhDOG;15-4-2012;2012;;74;;
