fi_id_cou;ser_nameshort;fi_date;fi_year;ge_stage;lengthmm;weightg;fi_comment
SRMGE1;ShiMG;31-3-2014;2014;;79;;
SRMGE2;ShiMG;31-3-2014;2014;;76;;
SRMGE3;ShiMG;31-3-2014;2014;;69;;
SRMGE4;ShiMG;2-4-2014;2014;;69;;
SRMGE5;ShiMG;2-4-2014;2014;;76;;
SRMGE6;ShiMG;2-4-2014;2014;;74;;
SRMGE7;ShiMG;2-4-2014;2014;;76;;
SRMGE8;ShiMG;2-4-2014;2014;;75;;
SRMGE9;ShiMG;4-4-2014;2014;;70;;
SRMGE10;ShiMG;4-4-2014;2014;;71;;
SRMGE11;ShiMG;4-4-2014;2014;;73;;
SRMGE12;ShiMG;4-4-2014;2014;;69;;
SRMGE13;ShiMG;4-4-2014;2014;;71;;
SRMGE14;ShiMG;8-4-2014;2014;;74;;
SRMGE15;ShiMG;22-4-2014;2014;;67;;
SRMGE16;ShiMG;22-4-2014;2014;;71;;
SRMGE17;ShiMG;22-4-2014;2014;;73;;
SRMGE18;ShiMG;22-4-2014;2014;;77;;
SRMGE19;ShiMG;22-4-2014;2014;;67;;
SRMGE20;ShiMG;22-4-2014;2014;;79;;
SRMGE21;ShiMG;24-4-2014;2014;;71;;
SRMGE22;ShiMG;24-4-2014;2014;;64;;
SRMGE23;ShiMG;24-4-2014;2014;;66;;
SRMGE24;ShiMG;24-4-2014;2014;;67;;
SRMGE25;ShiMG;24-4-2014;2014;;72;;
SRMGE26;ShiMG;24-4-2014;2014;;73;;
SRMGE27;ShiMG;24-4-2014;2014;;73;;
SRMGE28;ShiMG;24-4-2014;2014;;65;;
SRMGE29;ShiMG;24-4-2014;2014;;69;;
SRMGE30;ShiMG;24-4-2014;2014;;71;;
SRMGE31;ShiMG;24-4-2014;2014;;70;;
SRMGE32;ShiMG;24-4-2014;2014;;72;;
SRMGE33;ShiMG;24-4-2014;2014;;72;;
SRMGE34;ShiMG;24-4-2014;2014;;74;;
SRMGE35;ShiMG;24-4-2014;2014;;76;;
SRMGE36;ShiMG;24-4-2014;2014;;71;;
SRMGE37;ShiMG;25-4-2014;2014;VIA3;74;;
SRMGE38;ShiMG;25-4-2014;2014;VIA3;75;;
SRMGE39;ShiMG;25-4-2014;2014;VIA3;68;;
SRMGE40;ShiMG;25-4-2014;2014;VIA3;64;;
SRMGE41;ShiMG;25-4-2014;2014;VIA3;63;;
SRMGE42;ShiMG;25-4-2014;2014;VIA3;64;;
SRMGE43;ShiMG;28-4-2014;2014;VIA3;76;;
SRMGE44;ShiMG;28-4-2014;2014;VII;65;;
SRMGE45;ShiMG;28-4-2014;2014;VIA3;76;;
